,Tipo,Alto,Normal,Baixo,Mínimo
05/2014,Tipo4,1008.53,855.93,598.21,
05/2014,Tipo5,,1096.48,767.97,672.97
05/2014,Tipo6,,925.87,707.29,630.24
05/2014,Tipo7,,802.82,615.38,546.61
06/2014,Tipo1,,899.53,628.42,548.76
06/2014,Tipo2,,1012.91,706.63,616.96
06/2014,Tipo3,,1007.91,723.95,640.22
06/2014,Tipo4,1007.93,855.33,595.49,
06/2014,Tipo5,,1097.57,765.39,672.24
06/2014,Tipo6,,928.88,707.76,631.9
06/2014,Tipo7,,804.23,614.75,547.62
07/2014,Tipo1,,901.99,632.65,553.57
07/2014,Tipo2,,1015.62,711.24,622.3
07/2014,Tipo3,,1010.4,728.5,645.5
07/2014,Tipo4,1010.09,856.78,599.4,
07/2014,Tipo5,,1101.12,770.33,677.94
07/2014,Tipo6,,931.53,712.56,637.84
07/2014,Tipo7,,807.97,619.61,553.04
08/2014,Tipo1,,936.64,648.66,567.76
08/2014,Tipo2,,1054.19,729.23,638.22
08/2014,Tipo3,,1048.34,747.14,662.29
08/2014,Tipo4,1032.38,889.03,614.45,
08/2014,Tipo5,,1140.82,789.58,695.3
08/2014,Tipo6,,965.42,732.51,655.16
08/2014,Tipo7,,832.87,635.43,567.41
09/2014,Tipo1,,939.32,650.09,567.38
09/2014,Tipo2,,1056.89,730.81,637.85
09/2014,Tipo3,,1052.38,748.88,662.16
09/2014,Tipo4,1034.4,893.43,616.2,
09/2014,Tipo5,,1142.14,790.73,694.38
09/2014,Tipo6,,968.81,734.52,655
09/2014,Tipo7,,835.06,636.84,567.06
10/2014,Tipo1,,934.73,648.21,562.81
10/2014,Tipo2,,1051.22,728.48,633.03
10/2014,Tipo3,,1046.63,745.61,656.39
10/2014,Tipo4,1027.37,889.93,614.7,
10/2014,Tipo5,,1134.2,787.19,688.52
10/2014,Tipo6,,965.59,734.6,652.99
10/2014,Tipo7,,833.87,638,565.73
11/2014,Tipo1,,934.97,650.9,563.78
11/2014,Tipo2,,1052,731.57,634.12
11/2014,Tipo3,,1048.64,749.07,657.61
11/2014,Tipo4,1028.54,891.82,617.96,
11/2014,Tipo5,,1135.96,790.93,689.74
11/2014,Tipo6,,966.91,736.22,652.92
11/2014,Tipo7,,836.04,639.7,565.48
12/2014,Tipo1,,950.1,660.42,566.79
12/2014,Tipo2,,1068.44,742.11,637.97
12/2014,Tipo3,,1063.67,758.15,660.4
12/2014,Tipo4,1044.86,906.68,627.09,
12/2014,Tipo5,,1153.52,801.66,693.39
12/2014,Tipo6,,978.79,745.8,657.72
12/2014,Tipo7,,849.1,650,570.22
01/2015,Tipo1,,949.57,660.58,566.68
01/2015,Tipo2,,1068.06,742.4,637.91
01/2015,Tipo3,,1063.03,758.03,660.05
01/2015,Tipo4,1043.36,906.17,627.16,
01/2015,Tipo5,,1153.08,801.89,693.26
01/2015,Tipo6,,979.3,746.37,657.99
01/2015,Tipo7,,849.57,650.55,570.56
02/2015,Tipo1,,962.32,672.27,577.88
02/2015,Tipo2,,1081.59,755.26,650.25
02/2015,Tipo3,,1074.91,770.04,671.58
02/2015,Tipo4,1054.14,917,637.82,
02/2015,Tipo5,,1168.32,815.92,706.77
02/2015,Tipo6,,985.92,754.92,666.1
02/2015,Tipo7,,855.21,657.82,577.49
03/2015,Tipo1,,961.76,669.61,578.87
03/2015,Tipo2,,1081.82,752.8,651.31
03/2015,Tipo3,,1075.38,768.42,673.27
03/2015,Tipo4,1057.19,916.23,635.32,
03/2015,Tipo5,,1169.05,813.49,707.89
03/2015,Tipo6,,985.81,752.71,666.67
03/2015,Tipo7,,855.04,655.32,578.05
04/2015,Tipo1,,961.73,669.19,578.92
04/2015,Tipo2,,1081.67,752.32,651.35
04/2015,Tipo3,,1075.22,767.66,672.92
04/2015,Tipo4,1057.35,916.84,635.07,
04/2015,Tipo5,,1168.37,812.88,707.81
04/2015,Tipo6,,985.87,752.57,667.03
04/2015,Tipo7,,855.09,655.33,578.44
05/2015,Tipo1,,969.24,671.71,581.65
05/2015,Tipo2,,1089.2,754.74,654.04
05/2015,Tipo3,,1081.42,769.31,675.05
05/2015,Tipo4,1062.05,922.93,636.82,
05/2015,Tipo5,,1175.9,815.34,710.64
05/2015,Tipo6,,988.7,752.64,667.32
05/2015,Tipo7,,855.68,654.56,578.04
06/2015,Tipo1,,972.92,666.67,575.29
06/2015,Tipo2,,1092.96,748.52,646.52
06/2015,Tipo3,,1085.2,763.7,668.36
06/2015,Tipo4,1064.42,925.39,631.54,
06/2015,Tipo5,,1180.16,808.76,702.82
06/2015,Tipo6,,992.53,748.25,660.91
06/2015,Tipo7,,857.98,650.1,572.4
07/2015,Tipo1,,980.02,667.56,574.4
07/2015,Tipo2,,1101.36,749.75,645.86
07/2015,Tipo3,,1092.75,765.06,667.92
07/2015,Tipo4,1072.93,931.57,632.19,
07/2015,Tipo5,,1189.37,810.1,702.11
07/2015,Tipo6,,999.65,750.32,660.85
07/2015,Tipo7,,864.16,651.84,572.53
08/2015,Tipo1,,1015.42,690.2,595.55
08/2015,Tipo2,,1141.29,775.18,669.48
08/2015,Tipo3,,1132.72,790.89,692.49
08/2015,Tipo4,1108.47,964.49,652.64,
08/2015,Tipo5,,1230.55,837.5,728.17
08/2015,Tipo6,,1041.31,778.87,687.35
08/2015,Tipo7,,895.88,674.14,594.19
09/2015,Tipo1,,1012.12,689.05,593.71
09/2015,Tipo2,,1137.25,773.67,667.3
09/2015,Tipo3,,1127.62,787.91,688.9
09/2015,Tipo4,1098.55,961.03,651.44,
09/2015,Tipo5,,1226.4,836.03,726.09
09/2015,Tipo6,,1038.23,777.1,685.05
09/2015,Tipo7,,892.91,672.83,592.28
10/2015,Tipo1,,1013.99,690.04,594.16
10/2015,Tipo2,,1139.51,774.86,667.88
10/2015,Tipo3,,1130.06,789.17,689.38
10/2015,Tipo4,1099.34,963.76,652.9,
10/2015,Tipo5,,1229.26,837.35,726.55
10/2015,Tipo6,,1040.06,778.36,685.99
10/2015,Tipo7,,895.71,674.58,593.34
11/2015,Tipo1,,1017.44,693.48,597.65
11/2015,Tipo2,,1143.11,778.62,671.66
11/2015,Tipo3,,1133.72,792.36,692.65
11/2015,Tipo4,1103.06,967.5,655.75,
11/2015,Tipo5,,1232.94,841.86,731.2
11/2015,Tipo6,,1042.77,781.41,689.03
11/2015,Tipo7,,898.1,677.23,595.97
12/2015,Tipo1,,1013.89,691.11,598.99
12/2015,Tipo2,,1139.04,775.98,673.25
12/2015,Tipo3,,1128.68,789.56,694.39
12/2015,Tipo4,1103.08,961.78,652.59,
12/2015,Tipo5,,1227.32,838.5,732.82
12/2015,Tipo6,,1040.08,779.97,690.59
12/2015,Tipo7,,893.87,675.14,597.69
01/2016,Tipo1,,1022.73,696.16,604.99
01/2016,Tipo2,,1149.04,781.75,679.85
01/2016,Tipo3,,1138.75,795.58,701.18
01/2016,Tipo4,1112.19,970.73,657.67,
01/2016,Tipo5,,1237.53,844.65,739.65
01/2016,Tipo6,,1049.87,786.7,697.89
01/2016,Tipo7,,900.62,679.4,602.76
02/2016,Tipo1,,1028.65,698.39,606
02/2016,Tipo2,,1155.82,784.01,680.79
02/2016,Tipo3,,1144.48,797.79,702.22
02/2016,Tipo4,1117.04,975.85,659.8,
02/2016,Tipo5,,1245.15,847.25,740.86
02/2016,Tipo6,,1056.23,788.63,698.32
02/2016,Tipo7,,905.79,681.32,603.6
03/2016,Tipo1,,1027.84,698.29,605.99
03/2016,Tipo2,,1155.46,784.2,681.09
03/2016,Tipo3,,1144.82,798.2,702.34
03/2016,Tipo4,1116.73,976.14,659.98,
03/2016,Tipo5,,1245.2,847.74,741.25
03/2016,Tipo6,,1055.66,788.65,698.98
03/2016,Tipo7,,906.72,681.67,603.66
04/2016,Tipo1,,1032.61,700.7,608.14
04/2016,Tipo2,,1160.83,786.84,683.56
04/2016,Tipo3,,1149.51,800.78,704.84
04/2016,Tipo4,1122.24,979.52,661.77,
04/2016,Tipo5,,1251.77,850.7,744.08
04/2016,Tipo6,,1059.81,791.35,701.33
04/2016,Tipo7,,910.72,684.08,605.86
05/2016,Tipo1,,1040.14,704.01,608.95
05/2016,Tipo2,,1168.81,790.17,684.03
05/2016,Tipo3,,1157.4,804.51,705.6
05/2016,Tipo4,1132.47,986.84,665.22,
05/2016,Tipo5,,1262,855.09,745.16
05/2016,Tipo6,,1064.6,793.05,700.74
05/2016,Tipo7,,914.24,684.89,604.12
06/2016,Tipo1,,1042.62,705.19,609.91
06/2016,Tipo2,,1171.58,791.47,685.05
06/2016,Tipo3,,1159.62,805.12,706.3
06/2016,Tipo4,1138.49,988.95,665.89,
06/2016,Tipo5,,1265.09,856.7,746.49
06/2016,Tipo6,,1067.61,793.79,701.52
06/2016,Tipo7,,916.48,685.9,605.07
07/2016,Tipo1,,1040.89,706.15,612.19
07/2016,Tipo2,,1170.27,792.98,688.04
07/2016,Tipo3,,1159.31,807.2,709.62
07/2016,Tipo4,1138.54,988.05,666.99,
07/2016,Tipo5,,1263.47,858.3,749.66
07/2016,Tipo6,,1067.31,795.58,704.88
07/2016,Tipo7,,917.84,688.34,608.68
08/2016,Tipo1,,1070.78,730.84,632.94
08/2016,Tipo2,,1203.34,820.6,711.23
08/2016,Tipo3,,1192.59,835.55,733.79
08/2016,Tipo4,1168.79,1016.29,690.73,
08/2016,Tipo5,,1298.14,887.72,774.65
08/2016,Tipo6,,1100.39,824.6,729.97
08/2016,Tipo7,,943.79,712.18,629.51
09/2016,Tipo1,,1071.13,730.19,632.06
09/2016,Tipo2,,1203.78,820.01,710.34
09/2016,Tipo3,,1192.52,834.56,732.63
09/2016,Tipo4,1167.9,1016.69,689.87,
09/2016,Tipo5,,1298.84,887.47,774.05
09/2016,Tipo6,,1101.45,825.37,730.37
