,Tipo,Alto,Normal,Baixo,Mínimo
09/2019,Tipo3,,1317.84,960.78,846.79
09/2019,Tipo4,1307.25,1117.11,790.73,
09/2019,Tipo5,,1432.55,1018.99,892.22
09/2019,Tipo6,,1227.4,944.5,837.9
09/2019,Tipo7,,1050.82,816.24,725.01
10/2019,Tipo1,,1196.2,847.55,734.83
10/2019,Tipo2,,1347.45,953.56,827.38
10/2019,Tipo3,,1334.01,969.71,853.67
10/2019,Tipo4,1320.38,1132.32,798.97,
10/2019,Tipo5,,1449.73,1029.28,900.2
10/2019,Tipo6,,1240.01,952.3,843.43
10/2019,Tipo7,,1060.44,822.99,729.97
11/2019,Tipo1,,1212.82,859.16,747.16
11/2019,Tipo2,,1365.92,966.47,840.84
11/2019,Tipo3,,1351.81,982.52,867.15
11/2019,Tipo4,1337.47,1147.55,809.56,
11/2019,Tipo5,,1469.44,1043.46,914.9
11/2019,Tipo6,,1257.69,965.79,857.17
11/2019,Tipo7,,1073.41,832.9,740.71
12/2019,Tipo1,,1217.45,861.03,748.89
12/2019,Tipo2,,1371.08,968.53,842.72
12/2019,Tipo3,,1357.53,984.83,869.29
12/2019,Tipo4,1343.19,1152.86,811.26,
12/2019,Tipo5,,1474.19,1045.64,916.82
12/2019,Tipo6,,1263.39,968.44,859.7
12/2019,Tipo7,,1077.16,834.52,742.18
